gene_id	R1	R1	R2 	R2 	R3	R3	R6	R6	R4	R4	R5	R5	R7	R7	R8	R8
IL6R,chr1:154401900	3419	316	2374	909	2475	207	1865	926	1992	846	2043	776	3803	744	2597	824
RORC,chr1:151785452	4242	467	3148	1281	3307	278	2526	1006	2740	1128	2649	1161	4445	853	2607	833
LAMB3,chr1:209807915	205	23	136	59	175	11	140	66	155	49	190	50	243	45	184	51
MAN2A1,chr5:109049453	3506	242	3746	929	2768	126	3157	792	3446	897	2858	696	4294	522	3089	582
BRPF3,chr6:36181827	3746	356	2670	1062	2704	235	2292	1112	2583	1078	2449	890	4013	704	2771	905
NPBWR1,chr8:53852639	3292	347	2573	1097	2578	259	1885	949	2190	985	2198	938	3514	694	2111	621
SGMS1,chr10:52103640	3549	308	3011	996	2713	279	2013	1161	2244	1023	2119	835	3773	600	2476	748
EPC1,chr10:32560716	3262	350	2383	1005	2624	239	1927	1086	2265	1080	1983	690	3435	612	2230	770
NT5C2,chr10:104850451	3263	308	2463	1092	2645	252	2073	1048	2358	1057	2203	906	3800	708	2367	732
IGSF22,chr11:18739511	3982	378	2785	1068	3149	259	2550	1167	2737	1271	2631	1048	4350	782	2776	828
NAV2,chr11:19854089	2926	287	2066	814	2344	224	1843	976	2171	953	2038	764	3241	626	2355	773
ATF7,chr12:53911042	3786	360	2606	1162	3060	250	2048	1058	2362	1087	2295	948	3451	691	2356	738
GCN1L1,chr12:120582478	3518	310	2395	946	2606	233	1911	928	2228	1050	2261	792	3624	667	2452	749
LECT1,chr13:53313272	3318	331	2428	1014	2611	219	1926	969	2119	972	2155	799	3250	598	1987	712
GATM,chr15:45668809	3931	396	2934	1160	3227	274	2261	1082	2653	1231	2532	897	4306	829	2700	794
ITGAX,chr16:31367231	2982	326	2414	934	2561	229	1818	946	1878	879	1978	778	3339	647	1977	592
PNKP,chr19:50368466	3835	411	2746	1101	3186	272	2140	1047	2433	1060	2444	969	4255	804	2402	755
CSF2RB,chr22:37332619	2509	248	1534	667	1884	149	1629	704	1690	757	1569	662	2631	519	1831	627
ASAP3,chr1:23762513	4092	0	3794	0	2909	0	2736	561	2995	400	2504	959	4118	734	2695	798
PTAFR,chr1:28476817	2998	0	2710	0	2104	0	1956	422	2113	292	1673	728	2945	603	2201	603
BAP1,Chr3:52437604	3493	0	2465	0	2515	0	1250	440	1750	375	1374	944	2315	554	1723	812
RBM28,chr7:127983772	2361	0	2310	0	1579	0	1749	1075	1929	653	1365	1642	2269	1265	1387	424
KBTBD3,chr11:105923816	2220	0	1931	0	1994	0	1852	320	2091	224	1448	528	2206	361	1555	450
TSFM,chr12:58177053	3062	0	2947	0	2348	0	1955	429	2233	298	1863	624	3257	637	1989	643
POLE2,chr14:50141129	3857	0	3996	0	3328	0	2511	554	3013	381	2367	827	3744	726	2191	684
DEFB132,chr20:239825	4545	0	4641	0	3595	0	3084	749	3523	479	2759	1071	4343	784	3623	323
HELQ,chr4:84376839	2966	0	2478	0	2441	0	2253	444	2584	320	1943	608	2975	482	2645	0
PYGL,chr14:51410923	2973	0	2609	0	2204	0	2108	477	2405	316	1742	699	2912	572	2557	0
ZNF532,chr18:56585650	4175	0	4057	0	3374	0	2768	630	3561	517	2665	897	4231	770	3550	0
CREBRF,chr5:172535713	3960	0	4648	0	3423	0	4092	29	4193	306	3666	272	4883	115	3743	0
FSIP2,chr2:186656713	2231	0	2014	0	1839	0	1702	355	2266	20	1823	271	2411	327	2057	0
KLHL17,chr1:899347	4311	447	3290	1340	3250	281	2970	487	2945	696	3877	0	5455	0	3768	0
EGF,chr4:110882080	2692	272	2044	879	2225	174	2269	413	2056	460	2482	0	3248	0	2426	0
MLLT11,chr1:151039918	3488	335	2418	1042	2743	234	2834	398	2740	606	3172	0	4116	0	3258	0
KIF3C,chr2:26203621	2734	277	1841	847	2320	254	2368	379	596	2373	2473	0	3676	0	2791	0
NFKBIZ,chr3:101574293	2915	308	2136	897	2539	215	2498	378	2570	660	2740	0	3935	0	2475	0
IGF2BP3,chr7:23508126	3367	336	2445	1082	2770	234	3980	534	3724	637	5097	0	5690	0	3303	0
MUSK,chr9:113538123	2323	239	1856	722	2201	191	2090	362	2032	484	2314	0	3205	0	2383	0
POLE3,chr9:116172531	825	64	554	202	643	57	661	121	826	185	806	0	1111	0	812	0
RAB5B,chr12:56385144	3729	336	2541	1034	2962	228	2647	497	2742	672	3317	0	4826	0	3417	0
TSC2,chr16:2136795	3735	426	2568	1124	3137	299	2564	486	2835	685	3484	0	4682	0	2743	0
PTGIS,chr20:48140743	2733	287	2076	793	2476	306	2435	563	2440	533	2661	0	3625	0	2608	0
LRP2,chr2:170147482	3118	0	2850	0	2336	259	2238	401	3019	0	2578	0	3553	0	3111	0
BAP1,chr3:52439883	3459	0	2049	0	2522	245	1714	463	2263	0	2552	0	2908	0	2484	0
C12orf53,chr12:6804672	2254	0	1874	0	1612	146	1633	312	1908	0	1833	0	2345	0	1962	0
TMEM132B,chr12:126138458	3032	253	2705	0	2684	0	2974	0	3227	0	2957	0	4127	0	2975	0
NFATC4,chr14:24838993	3071	309	3079	0	2507	0	2926	0	3061	0	2867	0	3865	0	3001	0
